"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,615744317901645;0,000187481251874813
"Position";"DropTime";"FisherSim";0,537546245375462;0,197478342743032;0,537546245375462
"Position";"BoutDuration";"FisherSim";0,0550944905509449;0,399686084115509;0,0590298113045838
"Position";"Device";"FisherSim";9,99900009999e-05;0,931694990624912;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,557727449417815;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0038996100389961;0,394606494769518;0,0064993500649935
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,401998292283238;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,775572759476567;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,507709949163116;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,553760098152096;0,000187481251874813
"DropTime";"Device";"FisherSim";0,0448955104489551;0,410472161002404;0,0571096736480198
"DropTime";"StartYear";"FisherSim";0,0494950504949505;0,311442532025115;0,0571096736480198
"BoutDuration";"Device";"FisherSim";0,0053994600539946;0,418441564906216;0,0080991900809919
"BoutDuration";"StartYear";"FisherSim";0,0480951904809519;0,290750360879537;0,0571096736480198
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,82877065832729;0,000187481251874813
