"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,496193573369142;0,000187481251874813
"Position";"DropTime";"FisherSim";0,155584441555844;0,268542528461579;0,155584441555844
"Position";"BoutDuration";"FisherSim";0,0994900509949005;0,32765327688987;0,114796212686424
"Position";"Device";"FisherSim";9,99900009999e-05;0,933080854456023;0,000187481251874813
"Position";"StartYear";"FisherSim";9,99900009999e-05;0,503825694056631;0,000187481251874813
"EpochDuration";"DropTime";"FisherSim";0,0184981501849815;0,347642246510261;0,0252247502522475
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,482859748609754;0,000187481251874813
"EpochDuration";"Device";"FisherSim";9,99900009999e-05;0,729560230021738;0,000187481251874813
"EpochDuration";"StartYear";"FisherSim";9,99900009999e-05;0,383238353994203;0,000187481251874813
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,532363959350658;0,000187481251874813
"DropTime";"Device";"FisherSim";0,0221977802219778;0,426236826257591;0,0277472252774723
"DropTime";"StartYear";"FisherSim";0,0031996800319968;0,362488734771104;0,0047995200479952
"BoutDuration";"Device";"FisherSim";0,0004999500049995;0,409667718493424;0,0008332500083325
"BoutDuration";"StartYear";"FisherSim";0,131686831316868;0,237453692790368;0,141093033553787
"Device";"StartYear";"FisherSim";9,99900009999e-05;0,716336742521588;0,000187481251874813
