"var1";"var2";"testUsed";"pValue";"effectSize(CramerV_or_phi)";"pValue_adj"
"Position";"Device";"FisherSim";9,99900009999e-05;0,931694990624912;0,0001999800019998
"Position";"EpochDuration";"FisherSim";9,99900009999e-05;0,615744317901645;0,0001999800019998
"Position";"DropTime";"FisherSim";0,535546445355464;0,197478342743032;0,535546445355464
"Position";"BoutDuration";"FisherSim";0,0818918108189181;0,395126766645355;0,090990900909909
"Device";"EpochDuration";"FisherSim";9,99900009999e-05;0,775572759476567;0,0001999800019998
"Device";"DropTime";"FisherSim";0,0422957704229577;0,410472161002404;0,0528697130286971
"Device";"BoutDuration";"FisherSim";0,0048995100489951;0,41886011165533;0,00814204293856329
"EpochDuration";"DropTime";"FisherSim";0,0056994300569943;0,394606494769518;0,00814204293856329
"EpochDuration";"BoutDuration";"FisherSim";9,99900009999e-05;0,387394001630647;0,0001999800019998
"DropTime";"BoutDuration";"FisherSim";9,99900009999e-05;0,553760098152096;0,0001999800019998
